"","treatment","group_id","group_estim","true_prob"
"443","delphi_ha","hybiz0k8",0.35,0.1
"444","delphi_ha","hybiz0k8",0.625,0.7
"445","delphi_ha","hybiz0k8",0.7875,0.3
"446","delphi_ha","hybiz0k8",0.8,0.9
"447","delphi_ha","hybiz0k8",0.2625,0.4
"448","delphi_ha","hybiz0k8",0.35,0.6
"449","delphi_ha","hybiz0k8",0.43125,0.55
"450","delphi_ha","hybiz0k8",0.35,0.45
"451","delphi_ha","4jdrkkcs",0.7375,0.9
"452","delphi_ha","4jdrkkcs",0.8125,0.3
"453","delphi_ha","4jdrkkcs",0.2,0.45
"454","delphi_ha","4jdrkkcs",0.1625,0.55
"455","delphi_ha","4jdrkkcs",0.3125,0.6
"456","delphi_ha","4jdrkkcs",0.4625,0.7
"457","delphi_ha","4jdrkkcs",0.6375,0.2
"458","delphi_ha","4jdrkkcs",0.325,0.8
"459","delphi_ha","4jdrkkcs",0.3,0.4
"460","delphi_ha","4jdrkkcs",0.2125,0.1
"461","delphi_ha","84xbzevl",0.625,0.3
"462","delphi_ha","84xbzevl",0.35,0.1
"463","delphi_ha","84xbzevl",0.4275,0.45
"464","delphi_ha","84xbzevl",0.6625,0.9
"465","delphi_ha","84xbzevl",0.3875,0.4
"466","delphi_ha","84xbzevl",0.6375,0.7
"467","delphi_ha","84xbzevl",0.3625,0.2
"468","delphi_ha","84xbzevl",0.65,0.8
"469","delphi_ha","84xbzevl",0.4,0.55
"470","delphi_ha","84xbzevl",0.4375,0.6
"471","delphi_ha","ym2901qn",0.7875,0.9
"472","delphi_ha","ym2901qn",0.375,0.1
"473","delphi_ha","ym2901qn",0.4125,0.55
"474","delphi_ha","ym2901qn",0.4375,0.8
"475","delphi_ha","ym2901qn",0.6375,0.2
"476","delphi_ha","ym2901qn",0.3125,0.45
"477","delphi_ha","ym2901qn",0.48,0.7
"478","delphi_ha","ym2901qn",0.7375,0.3
"479","delphi_ha","ym2901qn",0.3,0.4
"480","delphi_ha","ym2901qn",0.3375,0.6
"481","delphi_ha","tkwsxqh2",0.2725,0.6
"482","delphi_ha","tkwsxqh2",0.2875,0.8
"483","delphi_ha","tkwsxqh2",0.3,0.4
"484","delphi_ha","tkwsxqh2",0.7625,0.9
"485","delphi_ha","tkwsxqh2",0.2875,0.55
"486","delphi_ha","tkwsxqh2",0.7375,0.2
"487","delphi_ha","tkwsxqh2",0.225,0.45
"488","delphi_ha","tkwsxqh2",0.175,0.1
"489","delphi_ha","tkwsxqh2",0.275,0.7
"490","delphi_ha","tkwsxqh2",0.7375,0.3
"491","delphi_ha","zaubt6yj",0.575,0.9
"492","delphi_ha","zaubt6yj",0.225,0.1
"493","delphi_ha","zaubt6yj",0.325,0.45
"494","delphi_ha","zaubt6yj",0.3625,0.55
"495","delphi_ha","zaubt6yj",0.4875,0.2
"496","delphi_ha","zaubt6yj",0.3,0.7
"497","delphi_ha","zaubt6yj",0.625,0.3
"498","delphi_ha","zaubt6yj",0.3625,0.6
"499","delphi_ha","zaubt6yj",0.305,0.8
"500","delphi_ha","zaubt6yj",0.2625,0.4
"501","delphi_ha","ei00flo6",0.7625,0.2
"502","delphi_ha","ei00flo6",0.25,0.55
"503","delphi_ha","ei00flo6",0.275,0.6
"504","delphi_ha","ei00flo6",0.29,0.8
"505","delphi_ha","ei00flo6",0.28,0.7
"506","delphi_ha","ei00flo6",0.75,0.3
"507","delphi_ha","ei00flo6",0.18,0.1
"508","delphi_ha","ei00flo6",0.8,0.9
"509","delphi_ha","ei00flo6",0.1375,0.45
"510","delphi_ha","ei00flo6",0.325,0.4
"511","delphi_ha","d158tkcm",0.325,0.4
"512","delphi_ha","d158tkcm",0.37,0.6
"513","delphi_ha","d158tkcm",0.48,0.8
"514","delphi_ha","d158tkcm",0.6675,0.3
"515","delphi_ha","d158tkcm",0.2775,0.45
"516","delphi_ha","d158tkcm",0.7825,0.9
"517","delphi_ha","d158tkcm",0.4,0.7
"518","delphi_ha","d158tkcm",0.23,0.1
"519","delphi_ha","d158tkcm",0.225,0.55
"520","delphi_ha","d158tkcm",0.6,0.2
