"","treatment","group_id","group_estim","true_prob"
"557","delphi_ha","zaubt6yj",0.625,0.3
"558","delphi_ha","zaubt6yj",0.3625,0.6
"559","delphi_ha","zaubt6yj",0.305,0.8
"560","delphi_ha","zaubt6yj",0.2625,0.4
"561","delphi_ha","ei00flo6",0.7625,0.2
"562","delphi_ha","ei00flo6",0.25,0.55
"563","delphi_ha","ei00flo6",0.275,0.6
"564","delphi_ha","ei00flo6",0.29,0.8
"565","delphi_ha","ei00flo6",0.28,0.7
"566","delphi_ha","ei00flo6",0.75,0.3
"567","delphi_ha","ei00flo6",0.18,0.1
"568","delphi_ha","ei00flo6",0.8,0.9
"569","delphi_ha","ei00flo6",0.1375,0.45
"570","delphi_ha","ei00flo6",0.325,0.4
"571","delphi_ha","d158tkcm",0.325,0.4
"572","delphi_ha","d158tkcm",0.37,0.6
"573","delphi_ha","d158tkcm",0.48,0.8
"574","delphi_ha","d158tkcm",0.6675,0.3
"575","delphi_ha","d158tkcm",0.2775,0.45
"576","delphi_ha","d158tkcm",0.7825,0.9
"577","delphi_ha","d158tkcm",0.4,0.7
"578","delphi_ha","d158tkcm",0.23,0.1
"579","delphi_ha","d158tkcm",0.225,0.55
"580","delphi_ha","d158tkcm",0.6,0.2
"581","delphi_ha","ct1lzjp5",0.1075,0.55
"582","delphi_ha","ct1lzjp5",0.8325,0.3
"583","delphi_ha","ct1lzjp5",0.22,0.4
"584","delphi_ha","ct1lzjp5",0.3075,0.6
"585","delphi_ha","ct1lzjp5",0.2325,0.45
"586","delphi_ha","ct1lzjp5",0.41,0.8
"587","delphi_ha","ct1lzjp5",0.2325,0.1
"588","delphi_ha","ct1lzjp5",0.8,0.9
"589","delphi_ha","ct1lzjp5",0.3325,0.7
"590","delphi_ha","ct1lzjp5",0.7075,0.2
"591","delphi_ha","6aa9pv3v",0.7475,0.3
"592","delphi_ha","6aa9pv3v",0.3875,0.45
"593","delphi_ha","6aa9pv3v",0.3425,0.8
"594","delphi_ha","6aa9pv3v",0.7025,0.9
"595","delphi_ha","6aa9pv3v",0.2225,0.1
